conm,cusip,cusip9digit,gvkey,id1,loc,ticker
ACCELRYS INC,00430U10,00430U103,61656,187,USA,ACCL
ACCESS HEALTHNET INC,00431530,004315305,25142,196,USA,3AHNT
ACCESS WORLDWIDE CMMNCTNS,00431910,004319109,66454,203,USA,AWWC
ACCESS TO MONEY INC,00434A10,00434A103,24792,202,USA,3AEMI
ACCESS SOLUTIONS INTL INC,00431710,004317103,63788,201,USA,ASIC.
ACCESS PLANS USA INC,00433N10,00433N106,129632,199,USA,AUSA
ACCESSPOINT CORP,00432T10,00432T104,119293,205,USA,ASAP
ACCESS ANYTIME BANCORP INC,00431F10,00431F105,16855,192,USA,AABC
ACCEPTANCE INSURANCE COS INC,00430810,004308102,8173,191,USA,AICIQ
ACCOLADE INC -REDH,00499H93,00499H936,36263,209,USA,ACCD
ACCUGRAPH CORP  -CL A,00438E30,00438E309,14056,217,USA,ACCUF
ACCUFACTS PRE-EMPLOYMENT SCR,00437U10,00437U106,111931,216,USA,APES
ACCREDITED HOME LENDERS HLDG,00437P10,00437P107,150024,213,USA,LEND.1
ACCPAC INTERNATIONAL -REDH,00435410,004354106,152009,212,USA,3ACPC.1
ACCORD NETWORKS LTD,M0169010,M01690102,137410,211,USA,ACCD.1
ACCLARENT INC -REDH,00499Z92,00499Z928,180230,207,USA,0505B
ACF INDUSTRIES HOLDING CORP,00099V00,00099V004,1010,232,USA,4165A
ACELITY HOLDINGS INC -REDH,00499O93,00499O931,14555,228,USA,9566B
ACCUSHARES SPOT CBOE VIX UP,00439V77,00439V771,24001,224,USA,VXUP
ACCUSHARES SPOT CBOE VIX DWN,00439V76,00439V763,23998,223,USA,VXDN
ACCURO HEALTHCARE INC-REDH,00439N10,00439N100,179412,222,USA,ACCU.1
ACM MANAGED DLR INCOME FD,00094910,000949107,29048,245,USA,ADF.1
ACM GVT SPECTRUM FUND,00091710,000917104,14778,244,USA,SI.2
ACM MANAGED INCOME FUND,00091910,000919100,15366,246,USA,AMF
ACM GVT OPPORTUNITY FD,00091810,000918102,15365,243,USA,AOF.1
ACM GOVT SECURITIES,00091410,000914101,14683,242,USA,GSF.1
ACME-CLEVELAND CORP,00462610,004626107,1098,258,USA,AMT.1
ACME INTERMEDIATE HLDG LLC,00470193,004701934,126895,253,USA,9827B
ACMAT CORP  -CL A,00461620,004616207,1097,250,USA,ACMTA
ACM MUN SEC INCOME FUND INC,00094210,000942102,28175,248,USA,AMU.1
ACM MANAGED MULTI-MKT TR INC,00092810,000928101,20207,247,USA,MMF.1
ACORN HOLDING CORP -OLD,00498X94,00498X940,17216,264,USA,0183B
ACRODYNE COMMUNICATIONS INC,00500E10,00500E104,31520,272,USA,ACRO
ACT INTERNATIONAL INC,00099X93,00099X935,151000,277,USA,0367B
ACT CLEAN TECHNOLOGIES INC,00089J10,00089J102,63106,275,USA,ACLH
ACS ENTERPRISES INC,00087230,000872309,1011,273,USA,ACSE
ACQUIRERS FUND ETF (THE),26922A26,26922A263,35214,267,USA,ZIG
ACQUA GROUP INC,00492640,004926408,23498,266,USA,3ACQGE
ACTION AUTO RENTAL,00491010,004910105,13778,284,USA,3AXXN
ACTIVECARE INC,00505730,005057302,184227,292,USA,ACARQ
ACTIVE LINK COMMUNICATIONS,00505W10,00505W109,14414,288,USA,ACVE
ACTIVE HEALTH FOODS INC,00505130,005051305,187742,287,USA,AHFD
